,Ticker,Name,Sector,Industry
61,ADTN,"ADTRAN, Inc.",Public Utilities,Telecommunications Equipment
62,ADRO,"Aduro Biotech, Inc.",Health Care,Major Pharmaceuticals
63,ADES,"Advanced Emissions Solutions, Inc.",Basic Industries,Major Chemicals
64,AEIS,"Advanced Energy Industries, Inc.",Capital Goods,Industrial Machinery/Components
65,AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors
66,ADXS,"Advaxis, Inc.",Health Care,Major Pharmaceuticals
67,ADVM,"Adverum Biotechnologies, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
68,DWMC,AdvisorShares Dorsey Wright Micro-Cap ETF,,
69,DWSH,AdvisorShares Dorsey Wright Short ETF,,
70,BKCH,AdvisorShares Sabretooth ETF,,
71,ACT,AdvisorShares Vice ETF,,
72,AEGN,Aegion Corp,Basic Industries,Water Supply
73,AGLE,"Aeglea BioTherapeutics, Inc.",Health Care,Major Pharmaceuticals
74,AEHR,Aehr Test Systems,Capital Goods,Electrical Products
75,AMTX,"Aemetis, Inc",Basic Industries,Major Chemicals
76,AERI,"Aerie Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
77,AVAV,"AeroVironment, Inc.",Capital Goods,Aerospace
78,ARPO,"Aerpio Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
79,AEZS,AEterna Zentaris Inc.,Health Care,Major Pharmaceuticals
80,AEMD,"Aethlon Medical, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments
81,GNMX,"Aevi Genomic Medicine, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
82,AFMD,Affimed N.V.,Health Care,Major Pharmaceuticals
83,AFYA,Afya Limited,Consumer Services,Other Consumer Services
84,AGBA,AGBA Acquisition Limited,Finance,Business Services
85,AGBAR,AGBA Acquisition Limited,Finance,Business Services
86,AGBAU,AGBA Acquisition Limited,Finance,Business Services
87,AGBAW,AGBA Acquisition Limited,Finance,Business Services
88,AGEN,Agenus Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
89,AGRX,"Agile Therapeutics, Inc.",Health Care,Major Pharmaceuticals
90,AGYS,"Agilysys, Inc.",Technology,EDP Services
91,AGIO,"Agios Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
92,AGMH,AGM Group Holdings Inc.,Technology,EDP Services
93,AGNC,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts
94,AGNCB,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts
95,AGNCM,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts
96,AGNCN,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts
97,AGFS,"AgroFresh Solutions, Inc.",Finance,Business Services
98,AGFSW,"AgroFresh Solutions, Inc.",Finance,Business Services
99,ALRN,"Aileron Therapeutics, Inc.",Health Care,Major Pharmaceuticals
100,AIMT,"Aimmune Therapeutics, Inc.",Health Care,Major Pharmaceuticals
101,AIRT,"Air T, Inc.",Transportation,Air Freight/Delivery Services
102,AIRTP,"Air T, Inc.",Transportation,Air Freight/Delivery Services
103,AIRTW,"Air T, Inc.",Transportation,Air Freight/Delivery Services
104,ATSG,"Air Transport Services Group, Inc",Transportation,Air Freight/Delivery Services
105,AIRG,"Airgain, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment
106,ANTE,AirNet Technology Inc.,Technology,Advertising
107,AKAM,"Akamai Technologies, Inc.",Miscellaneous,Business Services
108,AKTX,Akari Therapeutics Plc,Health Care,Major Pharmaceuticals
109,AKCA,"Akcea Therapeutics, Inc.",Health Care,Major Pharmaceuticals
110,AKBA,"Akebia Therapeutics, Inc.",Health Care,Major Pharmaceuticals
111,KERN,Akerna Corp.,Technology,EDP Services
112,KERNW,Akerna Corp.,Technology,EDP Services
113,AKRO,"Akero Therapeutics, Inc.",Health Care,Major Pharmaceuticals
114,AKER,Akers Biosciences Inc.,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
115,AKRX,"Akorn, Inc.",Health Care,Major Pharmaceuticals
116,AKTS,"Akoustis Technologies, Inc.",Public Utilities,Telecommunications Equipment
117,ALRM,"Alarm.com Holdings, Inc.",Technology,Computer Software: Prepackaged Software
118,ALSK,"Alaska Communications Systems Group, Inc.",Public Utilities,Telecommunications Equipment
119,ALAC,Alberton Acquisition Corporation,Finance,Business Services
120,ALACR,Alberton Acquisition Corporation,Finance,Business Services
121,ALACU,Alberton Acquisition Corporation,Finance,Business Services
122,ALACW,Alberton Acquisition Corporation,Finance,Business Services
123,ALBO,"Albireo Pharma, Inc.",Health Care,Major Pharmaceuticals
124,ABDC,Alcentra Capital Corp.,,
125,ALDR,"Alder BioPharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
126,ALDX,"Aldeyra Therapeutics, Inc.",Health Care,Major Pharmaceuticals
127,ALEC,"Alector, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
128,ALXN,"Alexion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
129,ALCO,"Alico, Inc.",Consumer Non-Durables,Farming/Seeds/Milling
130,ALIT,Alight Inc.,,
131,ALGN,"Align Technology, Inc.",Health Care,Industrial Specialties
132,ALIM,"Alimera Sciences, Inc.",Health Care,Major Pharmaceuticals
133,ALYA,Alithya Group inc.,Technology,"Computer Software: Programming, Data Processing"
134,ALJJ,"ALJ Regional Holdings, Inc.",Miscellaneous,Business Services
135,ALKS,Alkermes plc,Health Care,Major Pharmaceuticals
136,ALLK,Allakos Inc.,Health Care,Major Pharmaceuticals
137,ABTX,"Allegiance Bancshares, Inc.",Finance,Major Banks
138,ALGT,Allegiant Travel Company,Transportation,Air Freight/Delivery Services
139,ALGR,Allegro Merger Corp.,Finance,Business Services
140,ALGRR,Allegro Merger Corp.,Finance,Business Services
141,ALGRU,Allegro Merger Corp.,Finance,Business Services
142,ALGRW,Allegro Merger Corp.,Finance,Business Services
143,ALNA,"Allena Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
144,ARLP,"Alliance Resource Partners, L.P.",Energy,Coal Mining
145,LNT,Alliant Energy Corporation,Public Utilities,Power Generation
146,AHPI,"Allied Healthcare Products, Inc.",Health Care,Industrial Specialties
147,AMOT,"Allied Motion Technologies, Inc.",Capital Goods,Electrical Products
148,ALLO,"Allogene Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
149,ALLT,Allot Ltd.,Technology,Computer Communications Equipment
150,MDRX,"Allscripts Healthcare Solutions, Inc.",Technology,EDP Services
151,ALNY,"Alnylam Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
152,AOSL,Alpha and Omega Semiconductor Limited,Technology,Semiconductors
153,GOOG,Alphabet Inc.,Technology,"Computer Software: Programming, Data Processing"
154,GOOGL,Alphabet Inc.,Technology,"Computer Software: Programming, Data Processing"
155,SMCP,AlphaMark Actively Managed Small Cap ETF,,
156,ATEC,"Alphatec Holdings, Inc.",Health Care,Medical/Dental Instruments
157,ALPN,"Alpine Immune Sciences, Inc.",Health Care,Major Pharmaceuticals
158,AMR,"Alta Mesa Resources, Inc.",Energy,Oil & Gas Production
159,AMRWW,"Alta Mesa Resources, Inc.",Energy,Oil & Gas Production
160,AABA,Altaba Inc.,Technology,EDP Services
161,ALTR,Altair Engineering Inc.,Technology,Computer Software: Prepackaged Software
162,ATHE,Alterity Therapeutics Limited,Health Care,Major Pharmaceuticals
163,ALT,"Altimmune, Inc.",Health Care,Major Pharmaceuticals
164,ASPS,Altisource Portfolio Solutions S.A.,Consumer Services,Other Consumer Services
165,AIMC,Altra Industrial Motion Corp.,Capital Goods,Industrial Machinery/Components
166,ALTM,Altus Midstream Company,Public Utilities,Natural Gas Distribution
167,AMAG,"AMAG Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
168,AMAL,Amalgamated Bank,Consumer Non-Durables,Textiles
169,AMRN,Amarin Corporation plc,Health Care,Major Pharmaceuticals
170,AMRK,"A-Mark Precious Metals, Inc.",Basic Industries,Other Specialty Stores
171,AMZN,"Amazon.com, Inc.",Consumer Services,Catalog/Specialty Distribution
172,AMBC,"Ambac Financial Group, Inc.",Finance,Property-Casualty Insurers
173,AMBCW,"Ambac Financial Group, Inc.",Finance,Property-Casualty Insurers
174,AMBA,"Ambarella, Inc.",Technology,Semiconductors
175,AMCX,AMC Networks Inc.,Consumer Services,Television Services
176,AMCI,AMCI Acquisition Corp.,Finance,Business Services
177,AMCIU,AMCI Acquisition Corp.,Finance,Business Services
178,AMCIW,AMCI Acquisition Corp.,Finance,Business Services
179,DOX,Amdocs Limited,Technology,EDP Services
180,AMED,Amedisys Inc,Health Care,Medical/Nursing Services
181,AMTB,Amerant Bancorp Inc.,Finance,Major Banks
182,AMTBB,Amerant Bancorp Inc.,Finance,Major Banks
183,UHAL,Amerco,Consumer Services,Rental/Leasing Companies
184,AMRH,"Ameri Holdings, Inc.",Technology,Semiconductors
185,AMRHW,"Ameri Holdings, Inc.",Technology,Semiconductors
186,ATAX,"America First Multifamily Investors, L.P.",Finance,Finance: Consumer Services
187,AMOV,"America Movil, S.A.B. de C.V.",Public Utilities,Telecommunications Equipment
188,AAL,"American Airlines Group, Inc.",Transportation,Air Freight/Delivery Services
189,AFIN,"American Finance Trust, Inc.",Consumer Services,Real Estate Investment Trusts
190,AFINP,"American Finance Trust, Inc.",Consumer Services,Real Estate Investment Trusts
191,AMNB,"American National Bankshares, Inc.",Finance,Major Banks
192,ANAT,American National Insurance Company,Finance,Life Insurance
193,AOBC,American Outdoor Brands Corporation,Capital Goods,Ordnance And Accessories
194,APEI,"American Public Education, Inc.",Consumer Services,Other Consumer Services
195,AREC,American Resources Corporation,Consumer Services,Other Consumer Services
196,AMRB,American River Bankshares,Finance,Major Banks
197,AMSWA,"American Software, Inc.",Technology,Computer Software: Prepackaged Software
198,AMSC,American Superconductor Corporation,Consumer Durables,Metal Fabrications
199,AMWD,American Woodmark Corporation,Basic Industries,Forest Products
200,CRMT,"America&#39;s Car-Mart, Inc.",Consumer Durables,Automotive Aftermarket
201,ABCB,Ameris Bancorp,Finance,Major Banks
202,AMSF,"AMERISAFE, Inc.",Finance,Property-Casualty Insurers
203,ASRV,AmeriServ Financial Inc.,Finance,Major Banks
204,ASRVP,AmeriServ Financial Inc.,Finance,Major Banks
205,ATLO,Ames National Corporation,Finance,Major Banks
206,AMGN,Amgen Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
207,FOLD,"Amicus Therapeutics, Inc.",Health Care,Major Pharmaceuticals
208,AMKR,"Amkor Technology, Inc.",Technology,Semiconductors
209,AMPH,"Amphastar Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
210,IBUY,Amplify Online Retail ETF,,
211,ASYS,"Amtech Systems, Inc.",Technology,Industrial Machinery/Components
212,AMRS,"Amyris, Inc.",Basic Industries,Major Chemicals
213,ADI,"Analog Devices, Inc.",Technology,Semiconductors
214,ANAB,"AnaptysBio, Inc.",Health Care,Major Pharmaceuticals
215,AVXL,Anavex Life Sciences Corp.,Health Care,Biotechnology: Commercial Physical & Biological Resarch
216,ANCN,Anchiano Therapeutics Ltd.,Health Care,Major Pharmaceuticals
217,ANDA,Andina Acquisition Corp. III,Finance,Business Services
218,ANDAR,Andina Acquisition Corp. III,Finance,Business Services
219,ANDAU,Andina Acquisition Corp. III,Finance,Business Services
220,ANDAW,Andina Acquisition Corp. III,Finance,Business Services
221,ANGI,ANGI Homeservices Inc.,Consumer Services,Advertising
222,ANGO,"AngioDynamics, Inc.",Health Care,Medical/Dental Instruments
223,ANIP,"ANI Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
224,ANIK,Anika Therapeutics Inc.,Health Care,Medical/Dental Instruments
225,ANIX,"Anixa Biosciences, Inc.",Health Care,Medical Specialities
226,ANSS,"ANSYS, Inc.",Technology,Computer Software: Prepackaged Software
227,ATRS,"Antares Pharma, Inc.",Health Care,Medical/Dental Instruments
228,APLS,"Apellis Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
229,APEX,Apex Global Brands Inc.,Consumer Non-Durables,Apparel
230,APOG,"Apogee Enterprises, Inc.",Capital Goods,Auto Parts:O.E.M.
231,APEN,"Apollo Endosurgery, Inc.",Health Care,Medical/Dental Instruments
232,AINV,Apollo Investment Corporation,,
233,AMEH,"Apollo Medical Holdings, Inc.",Consumer Services,Professional Services
234,APPF,"AppFolio, Inc.",Technology,Computer Software: Prepackaged Software
235,APPN,Appian Corporation,Technology,Computer Software: Prepackaged Software
236,AAPL,Apple Inc.,Technology,Computer Manufacturing
237,ARCI,"Appliance Recycling Centers of America, Inc.",Consumer Services,Home Furnishings
238,APDN,Applied DNA Sciences Inc,Consumer Services,Other Consumer Services
239,APDNW,Applied DNA Sciences Inc,Consumer Services,Other Consumer Services
240,AGTC,Applied Genetic Technologies Corporation,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
241,AMAT,"Applied Materials, Inc.",Technology,Semiconductors
242,AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors
243,APLT,"Applied Therapeutics, Inc.",Health Care,Major Pharmaceuticals
244,AREX,Approach Resources Inc.,Energy,Oil & Gas Production
245,APVO,Aptevo Therapeutics Inc.,Health Care,Major Pharmaceuticals
246,APTX,Aptinyx Inc.,Health Care,Major Pharmaceuticals
247,APM,Aptorum Group Limited,Health Care,Major Pharmaceuticals
248,APTO,"Aptose Biosciences, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
249,APYX,Apyx Medical Corporation,Health Care,Medical/Dental Instruments
250,AQMS,"Aqua Metals, Inc.",Basic Industries,Metal Fabrications
251,AQB,"AquaBounty Technologies, Inc.",,
252,AQST,"Aquestive Therapeutics, Inc.",Health Care,Major Pharmaceuticals
253,AQXP,"Aquinox Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
254,ARAV,"Aravive, Inc.",Health Care,Major Pharmaceuticals
255,ABUS,Arbutus Biopharma Corporation,Health Care,Major Pharmaceuticals
256,ABIO,"ARCA biopharma, Inc.",Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
257,RKDA,"Arcadia Biosciences, Inc.",Basic Industries,Agricultural Chemicals
258,ARCB,ArcBest Corporation,Transportation,Trucking Freight/Courier Services
259,ACGL,Arch Capital Group Ltd.,Finance,Property-Casualty Insurers
260,ACGLO,Arch Capital Group Ltd.,Finance,Property-Casualty Insurers
261,ACGLP,Arch Capital Group Ltd.,Finance,Property-Casualty Insurers
262,FUV,"Arcimoto, Inc.",Consumer Non-Durables,Motor Vehicles
263,ARCE,Arco Platform Limited,Consumer Services,Other Consumer Services
264,ARCT,Arcturus Therapeutics Holdings Inc.,Health Care,Major Pharmaceuticals
265,ARDX,"Ardelyx, Inc.",Health Care,Major Pharmaceuticals
266,ARNA,"Arena Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
267,ARCC,Ares Capital Corporation,,
268,ARGX,argenx SE,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
269,ARDS,Aridis Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
270,ARKR,Ark Restaurants Corp.,Consumer Services,Restaurants
271,ARTX,Arotech Corporation,Miscellaneous,Industrial Machinery/Components
272,ARQL,"ArQule, Inc.",Health Care,Major Pharmaceuticals
273,DWCR,Arrow DWA Country Rotation ETF,,
274,DWAT,Arrow DWA Tactical ETF,,
275,AROW,Arrow Financial Corporation,Finance,Major Banks
276,ARWR,"Arrowhead Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
277,ARTL,"Artelo Biosciences, Inc.",Miscellaneous,Business Services
278,ARTLW,"Artelo Biosciences, Inc.",Miscellaneous,Business Services
279,ARTNA,Artesian Resources Corporation,Public Utilities,Water Supply
280,ARTW,"Art&#39;s-Way Manufacturing Co., Inc.",Capital Goods,Industrial Machinery/Components
281,ARVN,"Arvinas, Inc.",Health Care,Major Pharmaceuticals
282,ARYA,ARYA Sciences Acquisition Corp.,Finance,Business Services
283,ARYAU,ARYA Sciences Acquisition Corp.,Finance,Business Services
284,ARYAW,ARYA Sciences Acquisition Corp.,Finance,Business Services
285,ASNA,"Ascena Retail Group, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores
286,ASND,Ascendis Pharma A/S,Health Care,Major Pharmaceuticals
287,APWC,Asia Pacific Wire & Cable Corporation Limited,Basic Industries,Telecommunications Equipment
288,ASLN,ASLAN Pharmaceuticals Limited,Health Care,Major Pharmaceuticals
289,ASML,ASML Holding N.V.,Technology,Industrial Machinery/Components
290,ASPU,Aspen Group Inc.,Consumer Services,Other Consumer Services
291,AZPN,"Aspen Technology, Inc.",Technology,EDP Services
292,ASMB,"Assembly Biosciences, Inc.",Health Care,Major Pharmaceuticals
293,ASRT,"Assertio Therapeutics, Inc.",Health Care,Major Pharmaceuticals
294,ASFI,"Asta Funding, Inc.",Finance,Finance Companies
295,ASTE,"Astec Industries, Inc.",Capital Goods,Construction/Ag Equipment/Trucks
296,ATRO,Astronics Corporation,Capital Goods,Military/Government/Technical
297,ALOT,"AstroNova, Inc.",Technology,Computer peripheral equipment
298,ASTC,Astrotech Corporation,Capital Goods,Biotechnology: Laboratory Analytical Instruments
299,ASUR,Asure Software Inc,Technology,EDP Services
300,ASV,"ASV Holdings, Inc.",Capital Goods,Construction/Ag Equipment/Trucks
301,ATAI,ATA Inc.,Consumer Services,Other Consumer Services
302,ATRA,"Atara Biotherapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
303,ATNX,"Athenex, Inc.",Health Care,Major Pharmaceuticals
304,ATHX,"Athersys, Inc.",Health Care,Major Pharmaceuticals
305,ATIF,ATIF Holdings Limited,Consumer Services,Professional Services
306,AAME,Atlantic American Corporation,Finance,Life Insurance
307,ACBI,"Atlantic Capital Bancshares, Inc.",Finance,Major Banks
308,AUB,Atlantic Union Bankshares Corporation,Finance,Major Banks
309,AY,Atlantica Yield plc,Public Utilities,Electric Utilities: Central
310,ATLC,Atlanticus Holdings Corporation,Finance,Finance: Consumer Services
311,AAWW,Atlas Air Worldwide Holdings,Transportation,Transportation Services
312,AFH,"Atlas Financial Holdings, Inc.",Finance,Property-Casualty Insurers
313,AFHBL,"Atlas Financial Holdings, Inc.",Finance,Property-Casualty Insurers
314,TEAM,Atlassian Corporation Plc,Technology,Computer Software: Prepackaged Software
315,ATNI,"ATN International, Inc.",Public Utilities,Telecommunications Equipment
316,ATOM,Atomera Incorporated,Technology,Semiconductors
317,ATOS,Atossa Genetics Inc.,Health Care,Major Pharmaceuticals
318,BCEL,"Atreca, Inc.",Health Care,Major Pharmaceuticals
319,ATRC,"AtriCure, Inc.",Health Care,Medical/Dental Instruments
320,ATRI,Atrion Corporation,Health Care,Medical/Dental Instruments
321,ATIS,Attis Industries Inc.,Basic Industries,Major Chemicals
322,ATISW,Attis Industries Inc.,Basic Industries,Major Chemicals
323,LIFE,"aTyr Pharma, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
324,AUBN,"Auburn National Bancorporation, Inc.",Finance,Major Banks
325,BOLD,"Audentes Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
326,AUDC,AudioCodes Ltd.,Public Utilities,Telecommunications Equipment
327,AEYE,"AudioEye, Inc.",Technology,Computer Software: Prepackaged Software
328,AUPH,Aurinia Pharmaceuticals Inc,Health Care,Major Pharmaceuticals
329,EARS,Auris Medical Holding Ltd.,Health Care,Major Pharmaceuticals
330,JG,Aurora Mobile Limited,Technology,"Computer Software: Programming, Data Processing"
331,ADSK,"Autodesk, Inc.",Technology,Computer Software: Prepackaged Software
332,AUTL,Autolus Therapeutics plc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
333,ADP,"Automatic Data Processing, Inc.",Technology,EDP Services
334,AUTO,"AutoWeb, Inc.",Technology,"Computer Software: Programming, Data Processing"
335,AVDL,Avadel Pharmaceuticals plc,Health Care,Major Pharmaceuticals
336,AVCO,Avalon GloboCare Corp.,Consumer Services,Professional Services
337,AVDR,"Avedro, Inc",Health Care,Major Pharmaceuticals
338,ATXI,"Avenue Therapeutics, Inc.",Health Care,Major Pharmaceuticals
339,AVEO,"AVEO Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
340,AVNW,"Aviat Networks, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment
341,CDMO,"Avid Bioservices, Inc.",Health Care,Major Pharmaceuticals
342,CDMOP,"Avid Bioservices, Inc.",Health Care,Major Pharmaceuticals
343,AVID,"Avid Technology, Inc.",Technology,Computer Software: Prepackaged Software
344,AVGR,"Avinger, Inc.",Health Care,Medical/Dental Instruments
345,CAR,"Avis Budget Group, Inc.",Consumer Services,Rental/Leasing Companies
346,AVT,"Avnet, Inc.",Technology,Electronic Components
347,AVRO,"AVROBIO, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
348,AWRE,"Aware, Inc.",Technology,Computer Software: Prepackaged Software
349,ACLS,"Axcelis Technologies, Inc.",Technology,Industrial Machinery/Components
350,AXLA,Axcella Health Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
351,AXGN,"AxoGen, Inc.",Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
352,AAXN,"Axon Enterprise, Inc.",Capital Goods,Ordnance And Accessories
353,AXNX,"Axonics Modulation Technologies, Inc.",Health Care,Medical/Dental Instruments
354,AXGT,Axovant Gene Therapies Ltd.,Health Care,Major Pharmaceuticals
355,AXSM,"Axsome Therapeutics, Inc.",Health Care,Major Pharmaceuticals
356,AXTI,AXT Inc,Technology,Semiconductors
357,AYTU,"Aytu BioScience, Inc.",Health Care,Major Pharmaceuticals
358,AZRX,"AzurRx BioPharma, Inc.",Health Care,Major Pharmaceuticals
359,BCOM,B Communications Ltd.,Consumer Services,Telecommunications Equipment
360,RILY,"B. Riley Financial, Inc.",Miscellaneous,Business Services
361,RILYG,"B. Riley Financial, Inc.",Miscellaneous,Business Services
362,RILYH,"B. Riley Financial, Inc.",Miscellaneous,Business Services
363,RILYI,"B. Riley Financial, Inc.",Miscellaneous,Business Services
364,RILYL,"B. Riley Financial, Inc.",Miscellaneous,Business Services
365,RILYO,"B. Riley Financial, Inc.",Miscellaneous,Business Services
366,RILYZ,"B. Riley Financial, Inc.",Miscellaneous,Business Services
367,BOSC,B.O.S. Better Online Solutions,Technology,Computer Communications Equipment
368,BIDU,"Baidu, Inc.",Technology,"Computer Software: Programming, Data Processing"
369,BCPC,Balchem Corporation,Basic Industries,Major Chemicals
370,BLDP,"Ballard Power Systems, Inc.",Energy,Industrial Machinery/Components
371,BANF,BancFirst Corporation,Finance,Major Banks
372,BANFP,BancFirst Corporation,Finance,Major Banks
373,BCTF,"Bancorp 34, Inc.",Finance,Savings Institutions
374,BAND,Bandwidth Inc.,Technology,Computer Software: Prepackaged Software
375,BFC,Bank First Corporation,Finance,Major Banks
376,BOCH,Bank of Commerce Holdings (CA),Finance,Major Banks
377,BMRC,Bank of Marin Bancorp,Finance,Major Banks
